Line,bus0,bus1,s_nom,x_pu
8968,1771,1774,491.5560191880474,0.0002558155127277209
11229,3792,3794,3396.205223481055,1.7490328485309303e-05
11228,3793,3794,3396.205223481055,1.2273328430208972e-05
11227,3793,3796,3396.205223481055,3.1410862365999166e-05
8929,927,929,491.5560191880474,9.169552629456855e-05
3788,927,929,1698.1026117405274,2.4848930268315186e-05
372,1004,1005,0.0,inf
8799,1005,1006,0.0,inf
8798,1006,1007,0.0,inf
10240,1336,1337,983.1120383760948,7.469980741749348e-05
10979,1334,1338,1698.1026117405274,0.00011907584555771638
10978,1336,1338,1698.1026117405274,0.00010303514819343226
10243,1334,1339,983.1120383760948,0.00022709390772109657
10242,1339,1341,983.1120383760948,0.0001418077721980372
10991,1349,1377,1698.1026117405274,8.674200065071256e-05
11481,3902,3910,3396.205223481055,3.274530320490285e-05
8981,1408,1409,491.5560191880474,7.675551801560958e-05
10950,1208,1209,1698.1026117405274,3.664372224772272e-05
5074,1212,1213,3396.205223481055,4.079062866073223e-05
3600,1215,1217,0.0,inf
5077,1213,1218,3396.205223481055,4.650032357782776e-05
11461,1217,1218,3396.205223481055,2.4519486464562792e-05
5072,1218,1221,3396.205223481055,1.701742697119677e-05
5310,1219,1222,3396.205223481055,1.3002567790650095e-05
5068,1221,1222,3396.205223481055,2.3160897390236077e-05
5064,1221,1222,3396.205223481055,1.9699442786645286e-05
4602,1219,1224,1698.1026117405274,3.672557456172181e-05
5063,1222,1224,3396.205223481055,1.628761241712776e-05
5099,1272,1275,3396.205223481055,1.3222159732161402e-05
4036,1269,1278,1698.1026117405274,0.00017131332798555265
8127,1275,1278,1698.1026117405274,0.00010448653660289966
5088,1208,1291,3396.205223481055,0.00010953781653242829
5087,1290,1291,3396.205223481055,2.5526421989875537e-05
5084,1291,1292,3396.205223481055,3.571132284792199e-05
14701,1286,1292,1698.1026117405274,0.00013342702246180703
5085,1292,1293,3396.205223481055,5.069153869611858e-05
5086,1209,1293,3396.205223481055,6.863573080513158e-05
11462,1212,1295,3396.205223481055,0.00012057685590068223
11463,1292,1295,3396.205223481055,8.159542025158076e-05
10948,1294,1295,1698.1026117405274,0.00014333679034541583
5083,1292,1296,3396.205223481055,9.133287249914028e-05
5078,1213,1296,3396.205223481055,0.00012848068666562718
5080,1213,1296,3396.205223481055,0.0001327555501231663
5081,1293,1296,3396.205223481055,9.898312260199172e-05
10947,1294,1297,1698.1026117405274,0.00013562807222971155
10738,1215,1299,0.0,inf
10739,1298,1299,0.0,inf
10251,1301,1302,983.1120383760948,0.00011836351719815947
10248,1302,1303,983.1120383760948,7.921030674321351e-05
10250,1302,1305,983.1120383760948,0.00011793486901147935
10249,1305,1306,983.1120383760948,5.6267283912717157e-05
10247,1303,1306,983.1120383760948,0.0001051148853685878
10252,1301,1308,983.1120383760948,0.0002671278393465334
2841,1311,1313,983.1120383760948,4.683659431258673e-05
9460,1312,1313,491.5560191880474,6.546261307888617e-05
9461,1312,1313,491.5560191880474,7.087834993173837e-05
2842,1312,1315,983.1120383760948,6.323270264227834e-05
11003,1311,1315,1698.1026117405274,6.972080557069087e-05
1459,1312,1316,491.5560191880474,0.00013194742701275037
9459,1315,1316,491.5560191880474,0.00013771571513805775
1458,1316,1317,491.5560191880474,9.373029030059132e-05
9458,1315,1317,491.5560191880474,0.00019291741779442188
10995,1315,1318,1698.1026117405274,7.73064812840266e-05
1456,1317,1320,491.5560191880474,0.00014050247619669498
11482,3910,3911,3396.205223481055,2.2170620945865296e-05
4049,1315,1320,1698.1026117405274,8.487135551509086e-05
10992,1323,1324,1698.1026117405274,5.291450304360073e-05
4037,1320,1324,1698.1026117405274,0.0001967934012892026
4032,1320,1324,1698.1026117405274,0.00019843563130427335
10994,1318,1326,1698.1026117405274,0.00025164462908417774
10993,1323,1326,1698.1026117405274,0.00010014113159642098
4035,1269,1326,1698.1026117405274,8.233572664667357e-05
10988,1324,1327,1698.1026117405274,6.806140667607243e-05
10985,1280,1328,1698.1026117405274,0.00014159474336778986
4031,1324,1328,1698.1026117405274,0.00014396293010756993
4030,1324,1328,1698.1026117405274,0.0001530444618076101
10987,1327,1329,1698.1026117405274,0.00020682465720724374
10984,1280,1330,1698.1026117405274,7.102522591735726e-05
10246,1306,1332,983.1120383760948,0.0004205636042799476
10245,1331,1332,983.1120383760948,2.63017511014636e-05
10244,1331,1334,983.1120383760948,2.5200141786510053e-05
1445,1332,1334,491.5560191880474,4.80995004697651e-05
8069,1305,1336,0.0,inf
2830,1337,1341,983.1120383760948,0.00019784532887587392
10986,1329,1344,1698.1026117405274,0.00010095854383313366
10717,1334,1345,1698.1026117405274,3.769407352912853e-05
10980,1334,1345,1698.1026117405274,3.755382413164249e-05
10981,1344,1345,1698.1026117405274,0.00010653728197579032
10718,1345,1346,1698.1026117405274,9.044089406983287e-05
10719,1344,1346,1698.1026117405274,6.680545804791203e-05
10982,1344,1347,1698.1026117405274,0.00010459016205726486
