Bus,x,y
8838,-2.16979999999999,53.243852
7157,11.9273472385104,45.403085502256
1316,14.475861,40.761821
7421,4.52012724307074,50.4886188621382
1317,14.639282,40.688969
8699,10.939636,43.83948
1318,15.058136,40.941527
8827,-9.07539375,38.8693846086032
7928,-2.67105099999999,43.171132
8513,8.30703700000001,49.4230343964514
8092,-7.8553968190746,41.005712313619
8091,-7.8553968190746,41.005712313619
1337,14.582977,36.830172
1338,14.919434,37.545666
8726,1.572418,48.827661
7708,4.5763696143216,46.6308300117108
8313,1.31973300000001,49.355545
927,-5.456085,36.136766
929,-5.44647200000001,36.2631
1311,14.160004,40.843944
1004,-6.11251800000001,36.557085
1005,-6.14959700000001,36.475411
1006,-6.01776100000001,36.243166
1007,-5.72937,36.503013
1312,14.302826,40.892753
8622,6.75521899999999,58.879103
1313,14.345398,40.813809
1315,14.519806,40.970567
8172,-1.25533322424699,39.6795967507927
8828,7.99392699999999,51.76869
8775,16.973877,61.012397
1208,23.186646,40.71916
1209,22.9422,40.662931
1212,22.70462,38.403025
1213,23.190765,38.466493
1215,22.907867,37.881357
1217,23.626099,37.999409
1218,23.735962,38.225235
1219,23.79364,37.856423
1221,23.932343,38.132396
1222,23.946075,37.923618
1224,23.984528,37.753344
1269,17.20459,40.507535
1272,17.729187,40.61708
1275,17.862396,40.520063
1278,18.097229,39.997112
1280,17.082367,39.04052
1282,19.592743,40.783661
1286,20.900116,40.626461
1290,21.474152,40.839788
1291,21.72821,40.650429
1292,21.696625,40.317232
1293,22.049561,40.497092
1294,21.137695,39.279042
1295,21.991882,39.491324
1296,22.431335,39.533703
1297,21.590881,38.661922
1298,21.798248,38.174512
1299,22.280273,37.419254
1301,12.790833,37.722935
1302,13.050385,38.022131
1303,13.304443,38.159396
1305,13.434906,37.895447
1306,13.584595,37.939865
1308,13.695831,37.342867
1320,14.920807,40.665015
1323,16.118317,40.325608
1324,15.946655,40.078071
1326,16.656647,40.600399
1327,16.020813,39.780047
1328,16.581116,39.568646
1329,16.268005,38.834359
1330,16.633301,38.903858
1331,15.231171,38.157237
1332,15.148773,38.108628
1334,15.235291,38.079447
1336,14.611816,37.058465
7397,-2.77130100000001,43.217187
1339,15.019684,37.472678
1341,15.192719,37.093526
1344,16.101837,38.349196
1345,15.47287,38.146438
1346,15.779114,38.175592
1347,16.460266,38.77764
1349,8.221893,40.864718
7927,0.435332999999992,41.342794
1377,8.63662699999999,40.644178
1383,8.968964,39.417099
1384,8.451233,39.224807
1388,9.18319700000001,39.374649
1407,0.499877999999995,40.761821
1408,0.0247190000000069,40.294192
1409,0.13732899999999,40.213489
1418,2.55569499999999,39.643768
1419,2.70675700000001,39.746266
1422,2.540588,39.540058
1429,2.87017799999999,39.67337
1431,3.02124000000001,39.761047
1452,-5.266571,40.734771
1453,-5.31875599999999,40.265904
1454,-5.289917,40.051796
1455,-4.93286099999999,40.374798
1456,-4.90539599999999,40.69001
1458,-4.43847700000001,40.691052
1460,-4.86969,40.180972
1461,-4.596405,40.422906
1463,-4.65820300000001,39.93396
1464,-4.31762699999999,40.392581
1465,-4.3396,40.27743
1467,-4.24484300000001,40.12009
1469,-5.24322500000001,39.305613
1473,-3.99627699999999,40.794058
1475,-4.044342,40.656681
1477,-3.939972,40.491871
1479,-3.86444099999999,40.592057
1480,-3.76144400000001,40.465756
1481,-3.530731,40.489782
1482,-4.075928,40.432314
1483,-4.044342,40.265904
1484,-3.92761200000001,40.229218
1485,-4.12399300000001,40.173627
1486,-4.113007,40.060206
1488,-3.98803700000001,40.078071
1489,-3.90426600000001,40.154736
1490,-3.86032100000001,40.336077
1491,-3.609009,40.266952
1492,-3.86169399999999,40.080173
1493,-3.696899,40.11694
1494,-3.77929700000001,39.96028
1495,-3.59390299999999,40.177824
1496,-3.57055699999999,40.027614
1497,-3.49090600000001,40.735812
1498,-3.23410000000001,40.746217
1499,-3.46344,40.578499
1500,-3.392029,40.492915
1501,-2.918243,40.548244
1502,-3.273926,40.431269
1503,-3.16680900000001,40.37689
1507,-3.16131599999999,40.002372
1509,-3.990784,39.86548
1513,-4.11437999999999,39.582407
1517,-3.99490400000001,39.311988
8386,5.72799699999999,45.582329
1519,-4.12124599999999,38.942321
1526,-3.412628,39.735706
1527,-3.239594,39.656456
1528,-3.46069300000001,39.41816
1532,-3.345337,38.942321
1535,-5.52063000000001,37.792422
1539,-4.54010000000001,38.60614
1541,-4.77767899999999,37.906283
1546,-5.61950699999999,37.132951
1548,-5.16906700000001,36.659606
1549,-4.47006199999999,37.348326
1553,-4.65270999999999,36.881818
1555,-4.76532,36.726778
8328,-5.265198,40.190414
1556,-4.64858999999999,36.658505
1557,-4.29016099999999,37.086953
1558,-4.43298299999999,36.75429
1560,-4.291534,36.823577
1563,-4.17480499999999,38.629745
1566,-4.21875000000001,38.088094
1570,-3.990784,37.216112
1571,-3.953705,37.035447
1572,-3.79302999999999,37.011326
1574,-3.554077,36.785092
1578,-2.86605800000001,36.849956
1579,-2.80975299999999,40.647304
1580,-2.64221200000001,40.514843
1582,-2.238464,40.806533
1584,-2.59140000000001,40.431269
1587,-2.41287200000001,40.269048
1588,-2.171173,40.223976
1589,-2.41012599999999,40.13899
1592,-1.877289,40.389443
1594,-2.58453400000001,39.822249
1596,-2.377167,39.659628
1597,-2.34558099999999,39.749434
1601,-2.08190899999999,39.494504
1602,-1.57379200000001,39.744154
1603,-1.47628799999999,39.483905
1604,-1.985779,39.018117
1606,-0.712737999999993,40.876141
1607,-0.822601000000004,40.843944
1609,-0.709990999999996,40.726446
1612,-0.328217000000003,40.556591
1616,-0.226593,40.126391
1619,-1.33346600000001,39.469065
1621,-0.747069999999996,39.671256
1623,-1.36093100000001,39.208847
1624,-1.26617400000001,38.847195
1626,-0.878905999999996,39.136452
1627,-1.040955,39.008513
1629,-0.380401999999988,39.740986
1631,-0.475158999999988,39.601456
1635,-0.480652000000004,39.445738
1636,-0.22110000000001,39.86548
1638,-0.23208599999999,39.762103
1641,-0.314484000000001,39.583466
1642,-0.351563000000001,39.469065
1644,-0.541077000000001,39.255651
