,load,onwind,offwind,solar,prices
2015-01-01 00:00:00,41.151,0.1566,0.703,0.0,
2015-01-01 01:00:00,40.135,0.1659,0.6875,0.0,
2015-01-01 02:00:00,39.106,0.1746,0.6535,0.0,
2015-01-01 03:00:00,38.765,0.1745,0.6803,0.0,
2015-01-01 04:00:00,38.941,0.1826,0.7272,0.0,
2015-01-01 05:00:00,39.045,0.1869,0.749,0.0,
2015-01-01 06:00:00,40.206,0.1999,0.7706,0.0,
2015-01-01 07:00:00,41.133,0.212,0.801,0.0003,
2015-01-01 08:00:00,42.963,0.2281,0.7828,0.0442,
2015-01-01 09:00:00,45.088,0.2452,0.7865,0.1263,
2015-01-01 10:00:00,47.013,0.2272,0.8097,0.1754,
2015-01-01 11:00:00,48.159,0.2265,0.831,0.2062,
2015-01-01 12:00:00,47.164,0.2384,0.8244,0.2074,
2015-01-01 13:00:00,46.752,0.2719,0.8375,0.1579,
2015-01-01 14:00:00,47.403,0.3264,0.8599,0.0645,
2015-01-01 15:00:00,49.44,0.3656,0.8813,0.0022,
2015-01-01 16:00:00,53.41,0.3828,0.9022,0.0,
2015-01-01 17:00:00,53.672,0.4049,0.9295,0.0,
2015-01-01 18:00:00,53.012,0.4376,0.9531,0.0,
2015-01-01 19:00:00,50.313,0.4792,0.9654,0.0,
2015-01-01 20:00:00,48.73,0.5201,0.9727,0.0,
2015-01-01 21:00:00,48.624,0.5529,0.9763,0.0,
2015-01-01 22:00:00,45.668,0.5842,0.979,0.0,
2015-01-01 23:00:00,42.424,0.6113,0.9808,0.0,
2015-01-02 00:00:00,40.577,0.6391,0.9823,0.0,
2015-01-02 01:00:00,39.707,0.6732,0.9824,0.0,
2015-01-02 02:00:00,39.504,0.71,0.9819,0.0,
2015-01-02 03:00:00,40.391,0.7425,0.9846,0.0,
2015-01-02 04:00:00,42.382,0.7704,0.9851,0.0,
2015-01-02 05:00:00,45.679,0.8006,0.9851,0.0,
2015-01-02 06:00:00,50.418,0.8038,0.9856,0.0,
2015-01-02 07:00:00,54.131,0.7997,0.9849,0.0002,
2015-01-02 08:00:00,56.505,0.7918,0.9844,0.0197,
2015-01-02 09:00:00,58.447,0.7818,0.9822,0.0527,
2015-01-02 10:00:00,59.453,0.7643,0.9811,0.0808,
2015-01-02 11:00:00,59.201,0.7576,0.982,0.0986,
2015-01-02 12:00:00,58.564,0.7435,0.9832,0.1104,
2015-01-02 13:00:00,57.721,0.7346,0.9835,0.0904,
2015-01-02 14:00:00,57.276,0.7266,0.9822,0.0424,
2015-01-02 15:00:00,58.813,0.7328,0.9811,0.0026,
